ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	TURCHINID	INFOMAP
4275	Merina_Malagasy	Eight	valo	v a l o	105	451 997 554 887	1705	plat1254	3 7 5 7	AXBZ	BALU	11	11.B.C 11.A.V 11.L.C 11.U.V	2.0 1.5 1.75 0.8	0	5	1
4276	Thao	Eight	kaspat	k a s p a t	821	838 997 89 291 997 120	1705	thao1240	1 7 3 1 7 1	AXMBYN	KASPAT	17	17.K.C 17.A.V 17.S.c 17.P.C 17.A.V 17.T.c	2.0 1.5 1.1 1.75 1.3 0.8	0	11	8
4277	Palauan	Eight	kleiai	k l e i a i	1394	838 554 1089 1076 997 1076	1705	pala1344	1 5 7 7 7 7	ACXYYZ	KLEIAI	14	14.K.C 14.L.C 14.E.V 14.I.V 14.A.V 14.I.V	2.0 1.5 1.5 1.3 1.3 0.8	0	4	9
4278	Tunjung	Eight	kaluŋk	k a l u ŋ k	1479	838 997 554 868 801 838	1705	tunj1244	1 7 5 7 4 1	AXBYLN	KALYNK	19	19.K.C 19.A.V 19.L.C 19.Y.V 19.N.c 19.K.c	2.0 1.5 1.75 1.3 1.1 0.8	0	4	6
4279	Bare'e	Eight	uaju	u a j u	1551	868 997 570 868	1705	pamo1252	7 7 6 7	XYBZ	YAJY	3	3.Y.V 3.A.V 3.J.C 3.Y.V	1.5 1.3 1.75 0.8	0	1	2
4280	Iban	Eight	lapan	l a p a n	68	554 997 291 997 107	1705	iban1264	5 7 1 7 4	AXBYN	LAPAN	8	8.L.C 8.A.V 8.P.C 8.A.V 8.N.c	2.0 1.5 1.75 1.3 0.8	0	6	10
4281	Berawan_Long_Terawan	Eight	mareh	m a r e h	1697	241 997 153 1089 405	1705	west2564	4 7 5 7 3	AXBYN	MAREH	4	4.M.C 4.A.V 4.R.C 4.E.V 4.H.c	2.0 1.5 1.75 1.3 0.8	0	2	3
4282	Moken	Eight	waloj	w a l o j	105	462 997 554 887 570	1705	moke1242	6 7 5 7 6	AXBYN	WALUJ	12	12.W.C 12.A.V 12.L.C 12.U.V 12.J.c	2.0 1.5 1.75 1.3 0.8	0	5	1
4283	Hanunoo	Eight	walu	w a l u	105	462 997 554 868	1705	hanu1241	6 7 5 7	AXBZ	WALY	7	7.W.C 7.A.V 7.L.C 7.Y.V	2.0 1.5 1.75 0.8	0	5	1
4284	Tetum	Eight	ualu	u a l u	1928	868 997 554 868	1705	tetu1246	7 7 5 7	XYBZ	YALY	16	16.Y.V 16.A.V 16.L.C 16.Y.V	1.5 1.3 1.75 0.8	0	10	2
4285	Tsou	Eight	voeu	v o e u	105	451 887 1089 868	1705	tsou1248	3 7 7 7	AXYZ	BUEY	18	18.B.C 18.U.V 18.E.V 18.Y.V	2.0 1.5 1.3 0.8	0	12	7
4286	Tsou	Eight	woru	w o r u	105	462 887 153 868	1705	tsou1248	6 7 5 7	AXBZ	WURY	18	18.W.C 18.U.V 18.R.C 18.Y.V	2.0 1.5 1.75 0.8	0	5	1
4287	Tsou	Eight	mevarou	m e v a r o u	105	241 1089 451 997 153 887 868	1705	tsou1248	4 7 3 7 5 7 7	AXBYBYZ	MEBARUY	18	18.M.C 18.E.V 18.B.C 18.A.V 18.R.C 18.U.V 18.Y.V	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	17	4
4288	Central Amis	Eight	falu	f a l u	105	452 997 554 868	1705	amis1246	3 7 5 7	AXBZ	BALY	5	5.B.C 5.A.V 5.L.C 5.Y.V	2.0 1.5 1.75 0.8	0	3	1
4289	Central Amis	Eight	falo	f a l o	105	452 997 554 887	1705	amis1246	3 7 5 7	AXBZ	BALU	5	5.B.C 5.A.V 5.L.C 5.U.V	2.0 1.5 1.75 0.8	0	3	1
4290	Chamorro	Eight	gualo	ɡ u a l o	2592	831 868 997 554 887	1705	cham1312	1 7 7 5 7	AXYBZ	KYALU	6	6.K.C 6.Y.V 6.A.V 6.L.C 6.U.V	2.0 1.5 1.3 1.75 0.8	0	4	2
